",,Sala,Sala,Sala,Sala,Sala,Sala"
"Saddiq Bey\beysa01,DET,$2824320,$2959080,$4556983,,,"
"Kai Jones\joneska01,CHO,$2770560,$2909160,$3047760,$4693550,,"
"Brandon Clarke\clarkbr01,MEM,$2726880,$4343920,,,,"
"Precious Achiuwa\achiupr01,TOR,$2711280,$2840160,$4379527,,,"
"Jalen Johnson\johnsja05,ATL,$2659560,$2792520,$2925480,$4511090,,"
"Paul Millsap\millspa01,PHI,$2641691,,,,,"
"E'Twaun Moore\mooreet01,ORL,$2641691,,,,,"
"Udonis Haslem\hasleud01,MIA,$2641691,,,,,"
"Markieff Morris\morrima02,MIA,$2641691,,,,,"
"Trevor Ariza\arizatr01,LAL,$2641691,,,,,"
"DeAndre Jordan\jordade01,LAL,$11109327,$7827907,,,,"
"Dwight Howard\howardw01,LAL,$2641691,,,,,"
"Wayne Ellington\ellinwa01,LAL,$2641691,,,,,"
"Carmelo Anthony\anthoca01,LAL,$2641691,,,,,"
"Enes Freedom\kanteen01,HOU,$2641691,,,,,"
"Andre Iguodala\iguodan01,GSW,$2641691,,,,,"
"Rajon Rondo\rondora01,CLE,$2641691,,,,,"
"James Johnson\johnsja01,BRK,$2641691,,,,,"
"Blake Griffin\griffbl01,BRK,$32405817,,,,,"
"LaMarcus Aldridge\aldrila01,BRK,$2641691,,,,,"
"Avery Bradley\bradlav01,LAL,$2641691,,,,,"
"Ed Davis\davised01,CLE,$2641691,,,,,"
"Grant Williams\willigr01,BOS,$2617800,$4306281,,,,"
"Tyrese Maxey\maxeyty01,PHI,$2602920,$2726880,$4343920,,,"
"Keon Johnson\johnske07,POR,$2553120,$2681040,$2808720,$4474291,,"
"Darius Bazley\bazleda01,OKC,$2513040,$4264629,,,,"
"Trey Lyles\lylestr01,SAC,$2500000,$2625000,,,,"
"Zeke Nnaji\nnajize01,DEN,$2498760,$2617800,$4306281,,,"
"Isaiah Jackson\jacksis01,IND,$2451120,$2573760,$2696280,$4435381,,"
"Ty Jerome\jeromty01,OKC,$2412840,$4220057,,,,"
"Hassan Whiteside\whiteha01,UTA,$2401537,,,,,"
"Kent Bazemore\bazemke01,LAL,$2401537,,,,,"
