,,,Salary,,,,,,,
221,Donte DiVincenzo,SAC,"$4,675,830",,,,,,1st Round Pick,"$4,675,830"
222,Cam Reddish,NYK,"$4,670,160","$5,954,454",,,,,1st Round Pick,"$10,624,614"
223,David Nwaba,HOU,"$4,650,000","$5,022,000","$5,394,000",,,,Early Bird,"$9,672,000"
224,Furkan Korkmaz,PHI,"$4,629,630","$5,000,000","$5,370,370",,,,Bird,"$15,000,000"
225,Davion Mitchell,SAC,"$4,603,320","$4,833,600","$5,063,760","$6,451,230",,,1st Round Pick,"$9,436,920"
226,Ish Smith,WAS,"$4,500,000","$4,725,000",,,,,Room Exception,"$4,500,000"
227,Jeff Green,DEN,"$4,500,000","$4,500,000",,,,,MLE,"$4,500,000"
228,Jalen Smith,IND,"$4,458,000","$4,670,160","$5,954,454",,,,1st Round Pick,"$4,458,000"
229,Lonnie Walker IV,SAS,"$4,447,896",,,,,,1st Round Pick,"$4,447,896"
230,Cameron Johnson,PHO,"$4,437,000","$5,887,899",,,,,1st Round Pick,"$10,324,899"
231,Ziaire Williams,MEM,"$4,373,160","$4,591,920","$4,810,200","$6,133,005",,,1st Round Pick,"$8,965,080"
232,Maurice Harkless,SAC,"$4,347,600","$4,564,980",,,,,Non Bird,"$8,912,580"
233,Bobby Portis,MIL,"$4,347,600","$4,564,980",,,,,Non Bird,"$4,347,600"
234,Jarred Vanderbilt,MIN,"$4,259,259","$4,600,000","$4,940,741",,,,Bird,"$13,800,000"
235,Kevin Huerter,ATL,"$4,253,357","$14,508,929","$15,669,643","$16,830,357","$17,991,071",,1st Round Pick,"$69,253,357"
236,Devin Vassell,SAS,"$4,235,160","$4,437,000","$5,887,899",,,,1st Round Pick,"$8,672,160"
237,P.J. Washington,CHO,"$4,215,120","$5,808,435",,,,,1st Round Pick,"$10,023,555"
238,James Bouknight,CHO,"$4,154,400","$4,362,240","$4,570,080","$6,064,496",,,1st Round Pick,"$8,516,640"
239,Josh Okogie,MIN,"$4,087,904",,,,,,1st Round Pick,"$4,087,904"
240,Grayson Allen,MIL,"$4,054,695","$9,615,385","$10,384,615",,,,1st Round Pick,"$24,054,695"
241,Tyrese Haliburton,IND,"$4,023,600","$4,215,120","$5,808,435",,,,1st Round Pick,"$8,238,720"
